,album,artist,trackNumber,id,name,uri,release_date,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,valence,isHit
1215,Sponsored,Hardy Caprio,1.0,4v1aMar2KI6FkE8soih1YO,Sponsored,spotify:track:4v1aMar2KI6FkE8soih1YO,2019-03-14,0.187,0.856,170005.0,0.708,1.0,0.0,1.0,0.27,-6.316,1.0,45.0,0.0966,105.035,4.0,0.479,1.0
1216,In My Defense,Iggy Azalea,3.0,1bPoQ1zaUWZmiYrckwfulU,Sally Walker,spotify:track:1bPoQ1zaUWZmiYrckwfulU,2019-07-19,0.0177,0.905,178993.0,0.492,1.0,0.0,8.0,0.0994,-8.953,0.0,64.0,0.0936,140.076,4.0,0.605,1.0
1217,Feed Tha Streets II,Roddy Ricch,4.0,3wLtYwtqvKK2ewelSVPeDK,Die Young,spotify:track:3wLtYwtqvKK2ewelSVPeDK,2018-11-02,0.218,0.688,157656.0,0.656,1.0,0.0,4.0,0.115,-5.541,0.0,71.0,0.276,160.414,4.0,0.365,1.0
1218,Veranito en casa,Various Artists,2.0,0Il0FNMbZwC1Iq4MgnaRk3,Con Calma,spotify:track:0Il0FNMbZwC1Iq4MgnaRk3,2020-12-11,0.11,0.737,193226.0,0.86,0.0,1.94e-06,8.0,0.0574,-2.652,0.0,0.0,0.0594,93.989,4.0,0.656,1.0
1219,LoVE me NOw (ReLoAdeD),Tory Lanez,2.0,7EAaSaj1OgZgMX5yZyFXFC,Freaky,spotify:track:7EAaSaj1OgZgMX5yZyFXFC,2018-10-26,0.00202,0.966,173926.0,0.563,1.0,0.0,8.0,0.105,-5.764,1.0,65.0,0.0618,104.991,4.0,0.363,1.0
1220,Always in Between (Deluxe),Jess Glynne,2.0,3kIb1b4YbysgOiIUxd93RL,No One,spotify:track:3kIb1b4YbysgOiIUxd93RL,2018-10-12,0.0824,0.581,219866.0,0.779,0.0,0.0,11.0,0.159,-3.657,0.0,53.0,0.0435,119.954,4.0,0.308,1.0
1222,PSYCHODRAMA,Dave,6.0,3rqmxZNh2BRgJ3BiCPFTSG,Disaster (feat. J Hus),spotify:track:3rqmxZNh2BRgJ3BiCPFTSG,2019-03-08,0.619,0.727,240160.0,0.761,1.0,0.0,0.0,0.077,-5.686,0.0,65.0,0.436,91.108,4.0,0.706,1.0
1223,PSYCHODRAMA,Dave,2.0,59PUOc7B0WCNNx8Nr4qaA4,Streatham,spotify:track:59PUOc7B0WCNNx8Nr4qaA4,2019-03-08,0.496,0.892,205720.0,0.621,1.0,0.0,2.0,0.109,-7.67,1.0,66.0,0.0949,124.015,4.0,0.638,1.0
1225,Boasty (feat. Idris Elba),Wiley,1.0,7cz506PyIgh2bMN90Mc8Tn,Boasty (feat. Idris Elba),spotify:track:7cz506PyIgh2bMN90Mc8Tn,2019-01-22,0.00915,0.887,177185.0,0.765,1.0,0.000872,2.0,0.0907,-5.207,1.0,68.0,0.0669,102.958,4.0,0.456,1.0
1226,Death Race For Love,Juice WRLD,5.0,6MjNilJCVKJq0LfFvo5jWJ,Fast,spotify:track:6MjNilJCVKJq0LfFvo5jWJ,2019-03-08,0.426,0.623,208517.0,0.608,1.0,0.0,1.0,0.105,-5.937,0.0,78.0,0.0434,84.98,4.0,0.263,1.0
1227,Here With Me,Marshmello,1.0,5icOoE6VgqFKohjWWNp0Ac,Here With Me,spotify:track:5icOoE6VgqFKohjWWNp0Ac,2019-03-08,0.0623,0.791,156346.0,0.565,0.0,0.0,5.0,0.156,-3.933,0.0,78.0,0.0439,99.961,4.0,0.181,1.0
1228,Heaven & Hell,Ava Max,14.0,2Xnv3GntqbBH1juvUYSpHG,So Am I,spotify:track:2Xnv3GntqbBH1juvUYSpHG,2020-09-18,0.0748,0.681,183026.0,0.657,0.0,0.0,6.0,0.353,-4.671,1.0,72.0,0.0432,130.089,4.0,0.628,1.0
1229,My Bad,Khalid,1.0,1DUSuNhF8P5vUGNPpQiZa5,My Bad,spotify:track:1DUSuNhF8P5vUGNPpQiZa5,2019-03-07,0.543,0.645,166101.0,0.568,0.0,0.266,5.0,0.257,-9.127,0.0,64.0,0.0823,84.999,4.0,0.391,1.0
1230,Walls,Louis Tomlinson,3.0,1eqwjXdMTed8Pz3PLNcHe9,Two of Us,spotify:track:1eqwjXdMTed8Pz3PLNcHe9,2020-01-31,0.21,0.614,217866.0,0.605,0.0,0.0,0.0,0.162,-5.63,1.0,71.0,0.0319,127.099,4.0,0.333,1.0
